Anos;Total;Alimentacao_bebidas_tabaco;Vestuario_calcado;Habitacao_agua_eletricidade_gas_outros_combustiveis;Mobiliario_artigos_decoracao_equipamento_domestico_manutencao_habitacao;Saude;Transportes_comunicacoes;Lazer_recreacao_cultura;Educacao;Restaurantes_hoteis;Bens_serviços_diversos
1995;58176.9;12820.4;4073.3;7460.2;3820.8;2617.1;10021.1;4647;616.9;6163.8;5936.3
1996;61686.8;13430.7;4236.6;7935.2;4196.8;2709.5;10824.2;4995.4;630.8;6508;6219.7
1997;65954.6;13878.9;4505.4;8365.8;4481.5;2901.2;12001.7;5395.2;697;7004.1;6723.7
1998;71239.3;15128.1;4991.7;8839.3;4825.2;2958.4;13277.2;5751.2;704.3;7681.8;7082.1
1999;76724.5;15905.3;5029.7;9357.7;5187.2;3467.5;14729.9;6260.8;756.3;8023.8;8006.3
2000;82663;16535.7;5382.2;10008.9;5550;3651.8;16277.8;6850;857.1;8765.9;8783.6
2001;86739;17845.8;5581.7;10810.3;5704.7;3747.2;16644.9;6985.5;913.6;9389.1;9116.2
2002;90787;18478.6;6122.6;11782.8;6114.9;4025.7;16899.5;7168.6;964.5;9802.1;9427.8
2003;93507.6;19250.1;6158.5;12806.3;6170.3;4289.1;16712.7;7184.8;1004;9849;10082.7
2004;98230.7;19823;6403;13676.3;6181.6;4502.7;17972.2;7381.2;1080.1;10482.9;10727.8
2005;103289;20002.7;6593;14704.5;6536.6;4725.6;19289;7958.9;1149.7;10941.8;11387.2
2006;108713;21106.8;7042.3;15558;6745.2;4913;19774.2;8120.4;1217.8;11499.1;12736.2
2007;115412.2;21752.9;7220.5;16679;7079.6;5470.1;20763.9;8302.1;1285.1;12200.5;14658.5
2008;119967.9;22853.2;7281.7;17818.5;7244.8;5837.4;21037.4;8462.8;1396.1;12218.6;15817.4
2009;114687.8;22350.7;7011.5;18602.6;6865.4;5996;18173.2;8146.3;1474.8;12104.5;13962.8
2010;119946.9;22940.6;7309.9;19743.9;7002.5;5962.2;20171.5;8184.9;1576.5;12675.5;14379.5
2011;117955.6;23339.1;6972.8;20171.8;6652.4;5843.5;18998.7;7836.5;1667.7;12548.6;13924.5
2012;114122.8;23554.7;6437;21066.7;5998.5;5593.2;17099.4;7427.4;1546.6;12550.1;12849.1
2013;114311.1;24070.4;6686.8;21573.1;5847.8;5697.8;16490.7;7126.3;1474;12516.9;12827.4
2014;118025.5;24196.3;7384;22513.4;5976.7;5629.9;17459.4;7247.2;1462.1;13391.1;12765.5
2015;122329.6;24756.4;7921;22941;6062.3;6128.5;18050.6;7675;1444.9;14303.4;13046.4
2016;127447;25659.5;8129;23351.6;6089.6;6746.4;19418.6;7058;1949.3;15575.4;13469.5
2017;134028.5;26574.5;8302.3;23688.2;6427.8;7000.7;20925.3;7551.9;2047.9;17346.9;14163.1